"group","estimate","se","pop"
"1",1361785.11464052,63203.0127656272,87725120.0414817
"2",211511.743826575,39885.1975990324,15118564.7072923
"3",227523.375406141,26517.1115830355,12284803.8824404
"4",1810102.26448048,319343.649900746,5181423.79942155
"5",389473.833587835,51448.5652392714,10996476.9528277
