"method","estimate","se"
"Unweighted (i)",19956403.324636,726839.318907092
"Weighted naive (ii)",1059457.47045053,15011.6742232773
"Rubin sampling (iii)",19547138.640032,932431.863957222
"Replicates imp1 (iv)",1041815.25330557,78594.7858759782
"Rubin + replicates (v)",1059457.47047116,97097.1530927659
"survey+mitools (c)",1059457.47047116,46959.5697275308
